date=30/05/09 12
height(m)   thl(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)
      12.5000      290.927      5.629E-03      -7.9028      0.4085      1.0000
      37.5000      290.815      5.481E-03      -7.7583      -0.2357      1.0000
      62.5000      290.710      5.348E-03      -7.6335      -0.8206      1.0000
      87.5000      290.613      5.227E-03      -7.5275      -1.3485      1.0000
      112.500      290.525      5.118E-03      -7.4397      -1.8215      1.0000
      137.500      290.443      5.020E-03      -7.3695      -2.2416      1.0000
      162.500      290.369      4.932E-03      -7.3161      -2.6110      1.0000
      187.500      290.301      4.853E-03      -7.2789      -2.9320      1.0000
      212.500      290.241      4.783E-03      -7.2571      -3.2064      1.0000
      237.500      290.186      4.721E-03      -7.2500      -3.4367      1.0000
      262.500      290.137      4.666E-03      -7.2570      -3.6247      0.9968
      287.500      290.094      4.618E-03      -7.2773      -3.7728      0.9668
      312.500      290.057      4.577E-03      -7.3103      -3.8830      0.9370
      337.500      290.024      4.542E-03      -7.3552      -3.9575      0.9076
      362.500      289.997      4.512E-03      -7.4114      -3.9983      0.8785
      387.500      289.973      4.487E-03      -7.4781      -4.0077      0.8497
      412.500      289.954      4.467E-03      -7.5548      -3.9878      0.8212
      437.500      289.939      4.451E-03      -7.6406      -3.9407      0.7930
      462.500      289.928      4.440E-03      -7.7348      -3.8685      0.7652
      487.500      289.920      4.432E-03      -7.8369      -3.7733      0.7377
      512.500      289.914      4.428E-03      -7.9460      -3.6574      0.7106
      537.500      289.912      4.427E-03      -8.0615      -3.5228      0.6837
      562.500      289.912      4.428E-03      -8.1827      -3.3717      0.6573
      587.500      289.913      4.432E-03      -8.3089      -3.2062      0.6312
      612.500      289.917      4.438E-03      -8.4394      -3.0285      0.6054
      637.500      289.922      4.447E-03      -8.5735      -2.8406      0.5800
      662.500      289.928      4.456E-03      -8.7105      -2.6447      0.5550
      687.500      289.935      4.467E-03      -8.8497      -2.4430      0.5303
      712.500      289.943      4.480E-03      -8.9904      -2.2376      0.5060
      737.500      289.951      4.492E-03      -9.1320      -2.0306      0.4821
      762.500      289.959      4.505E-03      -9.2736      -1.8241      0.4586
      787.500      289.966      4.519E-03      -9.4147      -1.6204      0.4355
      812.500      289.972      4.532E-03      -9.5545      -1.4214      0.4128
      837.500      289.978      4.544E-03      -9.6924      -1.2294      0.3905
      862.500      289.982      4.556E-03      -9.8275      -1.0465      0.3686
      887.500      289.984      4.567E-03      -9.9594      -0.8749      0.3471
      912.500      289.985      4.576E-03      -10.087      -0.7161      0.3261
      937.500      289.983      4.583E-03      -10.211      -0.5704      0.3055
      962.500      289.981      4.589E-03      -10.330      -0.4373      0.2853
      987.500      289.977      4.592E-03      -10.446      -0.3164      0.2657
      1012.50      289.971      4.594E-03      -10.557      -0.2072      0.2465
      1037.50      289.966      4.593E-03      -10.665      -0.1094      0.2278
      1062.50      289.959      4.590E-03      -10.768      -0.0226      0.2095
      1087.50      289.952      4.585E-03      -10.868      0.0537      0.1918
      1112.50      289.946      4.577E-03      -10.963      0.1199      0.1747
      1137.50      289.939      4.566E-03      -11.054      0.1763      0.1580
      1162.50      289.933      4.553E-03      -11.141      0.2234      0.1420
      1187.50      289.928      4.537E-03      -11.225      0.2616      0.1265
      1212.50      289.924      4.517E-03      -11.304      0.2913      0.1116
      1237.50      289.921      4.494E-03      -11.379      0.3129      0.0974
      1262.50      289.920      4.468E-03      -11.449      0.3268      0.0838
      1287.50      289.920      4.439E-03      -11.516      0.3335      0.0709
      1312.50      289.923      4.407E-03      -11.579      0.3333      0.0588
      1337.50      289.928      4.371E-03      -11.638      0.3266      0.0474
      1362.50      289.935      4.331E-03      -11.692      0.3139      0.0369
      1387.50      289.946      4.288E-03      -11.743      0.2956      0.0273
      1412.50      289.959      4.241E-03      -11.789      0.2720      0.0187
      1437.50      289.976      4.191E-03      -11.832      0.2436      0.0113
      1462.50      289.996      4.137E-03      -11.870      0.2108      0.0053
      1487.50      290.021      4.080E-03      -11.905      0.1740      0.0010
      1512.50      290.049      4.019E-03      -11.935      0.1336      0.0000
      1537.50      290.082      3.955E-03      -11.961      0.0901      0.0000
      1562.50      290.120      3.887E-03      -11.983      0.0437      0.0000
      1587.50      290.163      3.816E-03      -12.001      -0.0050      0.0000
      1612.50      290.211      3.741E-03      -12.015      -0.0557      0.0000
      1637.50      290.264      3.664E-03      -12.025      -0.1084      0.0000
      1662.50      290.322      3.584E-03      -12.032      -0.1629      0.0000
      1687.50      290.385      3.502E-03      -12.034      -0.2192      0.0000
      1712.50      290.454      3.418E-03      -12.033      -0.2773      0.0000
      1737.50      290.526      3.332E-03      -12.029      -0.3372      0.0000
      1762.50      290.604      3.245E-03      -12.021      -0.3986      0.0000
      1787.50      290.686      3.157E-03      -12.010      -0.4617      0.0000
      1812.50      290.773      3.069E-03      -11.996      -0.5262      0.0000
      1837.50      290.864      2.980E-03      -11.979      -0.5923      0.0000
      1862.50      290.959      2.890E-03      -11.959      -0.6597      0.0000
      1887.50      291.059      2.801E-03      -11.937      -0.7286      0.0000
      1912.50      291.163      2.712E-03      -11.911      -0.7987      0.0000
      1937.50      291.271      2.624E-03      -11.884      -0.8700      0.0000
      1962.50      291.382      2.536E-03      -11.853      -0.9426      0.0000
      1987.50      291.498      2.449E-03      -11.821      -1.0163      0.0000
      2012.50      291.617      2.364E-03      -11.787      -1.0910      0.0000
      2037.50      291.740      2.279E-03      -11.750      -1.1668      0.0000
      2062.50      291.867      2.196E-03      -11.712      -1.2435      0.0000
      2087.50      291.997      2.115E-03      -11.672      -1.3212      0.0000
      2112.50      292.131      2.035E-03      -11.630      -1.3996      0.0000
      2137.50      292.267      1.957E-03      -11.587      -1.4789      0.0000
      2162.50      292.407      1.881E-03      -11.542      -1.5589      0.0000
      2187.50      292.550      1.806E-03      -11.496      -1.6396      0.0000
      2212.50      292.696      1.734E-03      -11.449      -1.7208      0.0000
      2237.50      292.845      1.664E-03      -11.400      -1.8027      0.0000
      2262.50      292.996      1.595E-03      -11.351      -1.8850      0.0000
      2287.50      293.151      1.529E-03      -11.301      -1.9678      0.0000
      2312.50      293.307      1.465E-03      -11.250      -2.0509      0.0000
      2337.50      293.467      1.403E-03      -11.199      -2.1344      0.0000
      2362.50      293.628      1.343E-03      -11.147      -2.2182      0.0000
      2387.50      293.792      1.286E-03      -11.095      -2.3022      0.0000
      2412.50      293.959      1.230E-03      -11.043      -2.3863      0.0000
      2437.50      294.127      1.177E-03      -10.990      -2.4705      0.0000
      2462.50      294.297      1.125E-03      -10.938      -2.5548      0.0000
      2487.50      294.469      1.076E-03      -10.886      -2.6391      0.0000
      2512.50      294.643      1.029E-03      -10.834      -2.7233      0.0000
      2537.50      294.818      9.833E-04      -10.782      -2.8073      0.0000
      2562.50      294.995      9.399E-04      -10.731      -2.8912      0.0000
      2587.50      295.174      8.984E-04      -10.681      -2.9749      0.0000
