#ASTEX case using prescribed vertical grid, Nlev = 427 1
       height(m)   thl(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)
      200.000      268.665      2.751E-06      5.8743      -0.0308      0.8560
      400.000      269.473      2.589E-06      7.3572      0.6200      0.5560
      600.000      270.555      2.485E-06      7.8241      1.3648      0.3026
      800.000      271.582      2.373E-06      7.7487      2.0063      0.1070
      1000.00      272.286      2.209E-06      7.5667      2.5086      0.0000
      1200.00      272.798      2.024E-06      7.4078      2.9108      0.0000
      1400.00      273.397      1.865E-06      7.2861      3.2551      0.0000
      1600.00      274.358      1.765E-06      7.2069      3.5812      0.0000
      1800.00      275.746      1.724E-06      7.1732      3.9067      0.0000
      2000.00      277.472      1.725E-06      7.1899      4.2325      0.0000
      2200.00      279.440      1.756E-06      7.2629      4.5584      0.0000
      2400.00      281.549      1.804E-06      7.3991      4.8823      0.0000
      2600.00      283.698      1.856E-06      7.6065      5.2005      0.0000
      2800.00      285.780      1.897E-06      7.8950      5.5064      0.0000
      3000.00      287.686      1.913E-06      8.2755      5.7901      0.0000
      3200.00      289.345      1.891E-06      8.7494      6.0413      0.0000
      3400.00      290.764      1.836E-06      9.2932      6.2561      0.0000
      3600.00      291.967      1.753E-06      9.8775      6.4352      0.0000
      3800.00      292.978      1.649E-06      10.4699      6.5846      0.0000
      4000.00      293.819      1.530E-06      11.0354      6.7172      0.0000
      4200.00      294.516      1.404E-06      11.5374      6.8519      0.0000
      4400.00      295.095      1.275E-06      11.9378      7.0123      0.0000
      4600.00      295.581      1.149E-06      12.1972      7.2238      0.0000
      4800.00      296.004      1.028E-06      12.2741      7.5093      0.0000
      5000.00      296.391      9.164E-07      12.1249      7.8830      0.0000
      5200.00      296.772      8.148E-07      11.7036      8.3435      0.0000
      5400.00      297.179      7.243E-07      10.9642      8.8651      0.0000
      5600.00      297.638      6.450E-07      9.8776      9.3868      0.0000
      5800.00      298.154      5.756E-07      8.5298      9.8049      0.0000
      6000.00      298.716      5.143E-07      7.0735      10.0394      0.0000
      6200.00      299.311      4.597E-07      5.6610      10.0733      0.0000
      6400.00      299.928      4.108E-07      4.4233      9.9520      0.0000
      6600.00      300.554      3.666E-07      3.4572      9.7677      0.0000
      6800.00      301.176      3.264E-07      2.8275      9.6338      0.0000
      7000.00      301.779      2.897E-07      2.5882      9.6593      0.0000
      7200.00      302.353      2.561E-07      2.7797      9.9074      0.0000
      7400.00      302.900      2.254E-07      3.3356      10.3381      0.0000
      7600.00      303.425      1.977E-07      4.1650      10.8776      0.0000
      7800.00      303.935      1.728E-07      5.1545      11.4682      0.0000
      8000.00      304.434      1.506E-07      6.1504      12.0944      0.0000
      8200.00      304.930      1.309E-07      6.9555      12.7935      0.0000
      8400.00      305.430      1.135E-07      7.3295      13.6381      0.0000
      8600.00      305.941      9.823E-08      6.9861      14.6826      0.0000
      8800.00      306.471      8.489E-08      5.5947      15.8642      0.0000
      9000.00      307.030      7.330E-08      2.8544      16.8604      0.0000
      9200.00      307.677      6.355E-08      -0.7397      17.0701      0.0000
      9400.00      308.522      5.585E-08      -3.8461      16.3844      0.0000
      9600.00      309.681      5.025E-08      -5.2945      15.5052      0.0000
      9800.00      311.273      4.677E-08      -4.2717      15.2144      0.0000
