#ASTEX case using prescribed vertical grid, Nlev = 427 1
       height(m)   thl(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)
      200.000      290.481      1.202E-05      3.7073      0.6373      0.4114
      400.000      290.706      1.101E-05      5.1003      -0.6087      0.2672
      600.000      291.955      1.076E-05      4.5702      -3.3860      0.1454
      800.000      293.300      1.056E-05      2.4465      -5.4965      0.0514
      1000.00      294.025      9.963E-06      0.5858      -6.5423      0.0000
      1200.00      294.252      9.091E-06      -0.4759      -7.2281      0.0000
      1400.00      294.296      8.189E-06      -0.7748      -7.7820      0.0000
      1600.00      294.473      7.432E-06      -0.5090      -8.0679      0.0000
      1800.00      294.923      6.858E-06      0.0973      -7.9692      0.0000
      2000.00      295.608      6.420E-06      0.8778      -7.5089      0.0000
      2200.00      296.480      6.078E-06      1.6519      -6.7434      0.0000
      2400.00      297.490      5.802E-06      2.2709      -5.7760      0.0000
      2600.00      298.590      5.566E-06      2.6563      -4.7462      0.0000
      2800.00      299.727      5.346E-06      2.8161      -3.7987      0.0000
      3000.00      300.849      5.125E-06      2.8335      -3.0508      0.0000
      3200.00      301.902      4.886E-06      2.8328      -2.5745      0.0000
      3400.00      302.868      4.626E-06      2.9068      -2.3550      0.0000
      3600.00      303.750      4.351E-06      3.0873      -2.3412      0.0000
      3800.00      304.555      4.067E-06      3.3727      -2.5008      0.0000
      4000.00      305.287      3.779E-06      3.7416      -2.8165      0.0000
      4200.00      305.954      3.492E-06      4.1624      -3.2783      0.0000
      4400.00      306.561      3.209E-06      4.5987      -3.8761      0.0000
      4600.00      307.114      2.935E-06      5.0154      -4.5936      0.0000
      4800.00      307.621      2.671E-06      5.3838      -5.4052      0.0000
      5000.00      308.088      2.421E-06      5.6862      -6.2746      0.0000
      5200.00      308.522      2.186E-06      5.9198      -7.1568      0.0000
      5400.00      308.931      1.967E-06      6.0978      -8.0001      0.0000
      5600.00      309.323      1.765E-06      6.2483      -8.7497      0.0000
      5800.00      309.705      1.579E-06      6.4093      -9.3517      0.0000
      6000.00      310.084      1.410E-06      6.6059      -9.7902      0.0000
      6200.00      310.462      1.256E-06      6.8426      -10.080      0.0000
      6400.00      310.844      1.118E-06      7.1135      -10.239      0.0000
      6600.00      311.234      9.925E-07      7.4061      -10.289      0.0000
      6800.00      311.635      8.804E-07      7.7044      -10.253      0.0000
      7000.00      312.051      7.803E-07      7.9917      -10.154      0.0000
      7200.00      312.488      6.911E-07      8.2519      -10.021      0.0000
      7400.00      312.948      6.119E-07      8.4714      -9.8829      0.0000
      7600.00      313.431      5.416E-07      8.6496      -9.7554      0.0000
      7800.00      313.934      4.791E-07      8.7967      -9.6466      0.0000
      8000.00      314.452      4.234E-07      8.9231      -9.5624      0.0000
      8200.00      314.981      3.737E-07      9.0394      -9.5082      0.0000
      8400.00      315.516      3.293E-07      9.1562      -9.4889      0.0000
      8600.00      316.052      2.895E-07      9.2840      -9.5090      0.0000
      8800.00      316.585      2.540E-07      9.4331      -9.5730      0.0000
      9000.00      317.110      2.221E-07      9.6137      -9.6852      0.0000
      9200.00      317.621      1.937E-07      9.8362      -9.8497      0.0000
      9400.00      318.114      1.682E-07      10.1063      -10.067      0.0000
      9600.00      318.589      1.455E-07      10.3924      -10.308      0.0000
      9800.00      319.051      1.254E-07      10.6425      -10.529      0.0000
      10000.0      319.503      1.078E-07      10.8039      -10.687      0.0000
      10200.0      319.951      9.227E-08      10.8242      -10.738      0.0000
      10400.0      320.398      7.875E-08      10.6521      -10.637      0.0000
      10600.0      320.859      6.706E-08      10.2498      -10.344      0.0000
      10800.0      321.398      5.727E-08      9.6527      -9.8638      0.0000
      11000.0      322.103      4.943E-08      8.9223      -9.2193      0.0000
      11200.0      323.065      4.343E-08      8.1150      -8.4414      0.0000
      11400.0      324.376      3.916E-08      7.2803      -7.5666      0.0000
      11600.0      326.133      3.655E-08      6.4609      -6.6379      0.0000
      11800.0      328.436      3.558E-08      5.6933      -5.7029      0.0000
      12000.0      331.357      3.635E-08      5.0013      -4.8092      0.0000
      12200.0      334.846      3.877E-08      4.3706      -3.9916      0.0000
      12400.0      338.810      4.279E-08      3.7874      -3.2719      0.0000
      12600.0      343.156      4.846E-08      3.2495      -2.6624      0.0000
      12800.0      347.783      5.583E-08      2.7629      -2.1677      0.0000
      13000.0      352.590      6.487E-08      2.3380      -1.7864      0.0000
      13200.0      357.471      7.541E-08      1.9860      -1.5141      0.0000
      13400.0      362.317      8.701E-08      1.7161      -1.3470      0.0000
      13600.0      367.014      9.889E-08      1.5321      -1.2856      0.0000
      13800.0      371.470      1.101E-07      1.4270      -1.3343      0.0000
      14000.0      375.687      1.201E-07      1.3764      -1.4909      0.0000
      14200.0      379.692      1.288E-07      1.3451      -1.7531      0.0000
      14400.0      383.513      1.361E-07      1.2914      -2.1153      0.0000
      14600.0      387.179      1.421E-07      1.1713      -2.5632      0.0000
      14800.0      390.721      1.468E-07      0.9439      -3.0704      0.0000
      15000.0      394.172      1.504E-07      0.5775      -3.5976      0.0000
      15200.0      397.564      1.533E-07      0.0558      -4.0950      0.0000
      15400.0      400.933      1.558E-07      -0.6178      -4.5085      0.0000
      15600.0      404.315      1.581E-07      -1.4183      -4.7868      0.0000
      15800.0      407.748      1.607E-07      -2.3005      -4.8898      0.0000
      16000.0      411.272      1.639E-07      -3.2046      -4.7960      0.0000
      16200.0      414.927      1.682E-07      -4.0636      -4.5065      0.0000
      16400.0      418.737      1.738E-07      -4.8199      -4.0486      0.0000
      16600.0      422.685      1.807E-07      -5.4420      -3.4681      0.0000
      16800.0      426.748      1.887E-07      -5.9156      -2.8137      0.0000
      17000.0      430.905      1.976E-07      -6.2405      -2.1311      0.0000
      17200.0      435.130      2.073E-07      -6.4274      -1.4603      0.0000
      17400.0      439.401      2.174E-07      -6.4950      -0.8339      0.0000
      17600.0      443.690      2.277E-07      -6.4670      -0.2756      0.0000
      17800.0      447.973      2.379E-07      -6.3688      0.1986      0.0000
      18000.0      452.222      2.474E-07      -6.2254      0.5800      0.0000
      18200.0      456.408      2.558E-07      -6.0601      0.8657      0.0000
      18400.0      460.504      2.626E-07      -5.8925      1.0568      0.0000
      18600.0      464.488      2.675E-07      -5.7370      1.1593      0.0000
      18800.0      468.369      2.704E-07      -5.5989      1.1867      0.0000
      19000.0      472.161      2.715E-07      -5.4791      1.1529      0.0000
      19200.0      475.878      2.712E-07      -5.3763      1.0700      0.0000
      19400.0      479.536      2.696E-07      -5.2886      0.9487      0.0000
      19600.0      483.151      2.670E-07      -5.2135      0.7988      0.0000
      19800.0      486.738      2.637E-07      -5.1491      0.6288      0.0000
      20000.0      490.316      2.600E-07      -5.0941      0.4466      0.0000
