#ASTEX case using prescribed vertical grid, Nlev = 427 1 date07/01/09 00
height(m)   thl(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)     pres
      0.0000      262.280      1.869E-06      -0.6829      -0.6754      0.0560      1023.25
      100.000      267.014      2.536E-06      -1.5914      -2.2448      0.0478      1010.65
      200.000      270.312      3.061E-06      -2.4436      -3.4114      0.0400      998.126
      300.000      272.407      3.367E-06      -3.7110      -3.8362      0.0328      985.681
      400.000      273.539      3.448E-06      -5.3042      -3.2452      0.0260      973.327
      500.000      273.949      3.346E-06      -6.7049      -1.5499      0.0198      961.073
      600.000      273.882      3.136E-06      -7.3117      0.9337      0.0142      948.928
      700.000      273.587      2.888E-06      -6.8676      3.5471      0.0092      936.900
      800.000      273.317      2.663E-06      -5.6569      5.6569      0.0050      925.000
      900.000      273.278      2.497E-06      -4.2823      7.0163      0.0018      913.233
      1000.00      273.482      2.383E-06      -3.1605      7.7860      0.0000      901.603
      1100.00      273.890      2.309E-06      -2.4914      8.1868      0.0000      890.111
      1200.00      274.464      2.265E-06      -2.3571      8.3657      0.0000      878.757
      1300.00      275.163      2.242E-06      -2.7762      8.3642      0.0000      867.542
      1400.00      275.949      2.233E-06      -3.7235      8.1165      0.0000      856.467
      1500.00      276.780      2.231E-06      -5.1155      7.4658      0.0000      845.534
      1600.00      277.632      2.233E-06      -6.7589      6.2095      0.0000      834.740
      1700.00      278.499      2.236E-06      -8.3184      4.1867      0.0000      824.084
      1800.00      279.377      2.241E-06      -9.3508      1.3807      0.0000      813.562
      1900.00      280.262      2.246E-06      -9.3862      -1.9929      0.0000      803.171
      2000.00      281.149      2.251E-06      -8.0708      -5.4546      0.0000      792.907
      2100.00      282.033      2.255E-06      -5.3264      -8.3307      0.0000      782.769
      2200.00      282.910      2.258E-06      -1.4558      -9.9282      0.0000      772.752
      2300.00      283.775      2.258E-06      2.8769      -9.7642      0.0000      762.853
      2400.00      284.625      2.254E-06      6.8110      -7.7546      0.0000      753.071
      2500.00      285.453      2.247E-06      9.5467      -4.2711      0.0000      743.400
      2600.00      286.255      2.234E-06      10.5904      -0.0304      0.0000      733.839
      2700.00      287.027      2.217E-06      9.8837      4.1387      0.0000      724.383
      2800.00      287.763      2.193E-06      7.7705      7.5462      0.0000      715.031
      2900.00      288.459      2.162E-06      4.8351      9.8117      0.0000      705.779
      3000.00      289.109      2.125E-06      1.6974      10.9027      0.0000      696.623
      3100.00      289.712      2.080E-06      -1.1882      11.0543      0.0000      687.562
      3200.00      290.269      2.028E-06      -3.6124      10.5917      0.0000      678.595
      3300.00      290.783      1.971E-06      -5.5200      9.8059      0.0000      669.721
      3400.00      291.255      1.910E-06      -6.9447      8.9201      0.0000      660.939
      3500.00      291.688      1.844E-06      -7.9594      8.0872      0.0000      652.249
      3600.00      292.084      1.776E-06      -8.6452      7.4006      0.0000      643.649
      3700.00      292.445      1.705E-06      -9.0737      6.9093      0.0000      635.140
      3800.00      292.774      1.632E-06      -9.2992      6.6312      0.0000      626.720
      3900.00      293.074      1.559E-06      -9.3583      6.5632      0.0000      618.388
      4000.00      293.346      1.485E-06      -9.2717      6.6884      0.0000      610.144
      4100.00      293.593      1.412E-06      -9.0485      6.9800      0.0000      601.987
      4200.00      293.818      1.340E-06      -8.6909      7.4045      0.0000      593.916
      4300.00      294.023      1.269E-06      -8.1985      7.9235      0.0000      585.931
      4400.00      294.210      1.200E-06      -7.5724      8.4961      0.0000      578.030
      4500.00      294.383      1.132E-06      -6.8187      9.0807      0.0000      570.214
      4600.00      294.544      1.068E-06      -5.9503      9.6380      0.0000      562.481
      4700.00      294.696      1.005E-06      -4.9878      10.1336      0.0000      554.830
      4800.00      294.841      9.458E-07      -3.9590      10.5406      0.0000      547.260
      4900.00      294.983      8.891E-07      -2.8975      10.8417      0.0000      539.772
      5000.00      295.124      8.353E-07      -1.8403      11.0307      0.0000      532.364
      5100.00      295.266      7.845E-07      -0.8252      11.1123      0.0000      525.035
      5200.00      295.414      7.367E-07      0.1117      11.1014      0.0000      517.785
      5300.00      295.570      6.919E-07      0.9380      11.0210      0.0000      510.613
      5400.00      295.737      6.500E-07      1.6258      10.8995      0.0000      503.518
      5500.00      295.917      6.110E-07      2.1521      10.7673      0.0000      496.500
      5600.00      296.113      5.748E-07      2.5176      10.6493      0.0000      489.557
      5700.00      296.325      5.410E-07      2.7432      10.5596      0.0000      482.689
      5800.00      296.550      5.095E-07      2.8499      10.5048      0.0000      475.897
      5900.00      296.790      4.801E-07      2.8567      10.4863      0.0000      469.178
      6000.00      297.044      4.526E-07      2.7813      10.5022      0.0000      462.532
      6100.00      297.310      4.269E-07      2.6403      10.5488      0.0000      455.960
      6200.00      297.589      4.029E-07      2.4496      10.6222      0.0000      449.460
      6300.00      297.881      3.804E-07      2.2244      10.7183      0.0000      443.032
      6400.00      298.184      3.593E-07      1.9802      10.8344      0.0000      436.675
      6500.00      298.498      3.395E-07      1.7326      10.9688      0.0000      430.389
      6600.00      298.824      3.209E-07      1.4978      11.1215      0.0000      424.173
      6700.00      299.159      3.033E-07      1.2926      11.2939      0.0000      418.026
      6800.00      299.504      2.868E-07      1.1353      11.4883      0.0000      411.949
      6900.00      299.858      2.713E-07      1.0457      11.7077      0.0000      405.940
      7000.00      300.220      2.566E-07      1.0459      11.9543      0.0000      400.000
      7100.00      300.591      2.428E-07      1.1546      12.2279      0.0000      394.126
      7200.00      300.969      2.297E-07      1.3685      12.5211      0.0000      388.320
      7300.00      301.356      2.173E-07      1.6775      12.8241      0.0000      382.580
      7400.00      301.750      2.056E-07      2.0701      13.1261      0.0000      376.907
      7500.00      302.151      1.946E-07      2.5327      13.4167      0.0000      371.299
      7600.00      302.560      1.842E-07      3.0490      13.6869      0.0000      365.758
      7700.00      302.976      1.743E-07      3.6003      13.9300      0.0000      360.281
      7800.00      303.400      1.650E-07      4.1650      14.1419      0.0000      354.870
      7900.00      303.830      1.561E-07      4.7199      14.3223      0.0000      349.523
      8000.00      304.267      1.478E-07      5.2400      14.4738      0.0000      344.240
      8100.00      304.711      1.399E-07      5.6990      14.6024      0.0000      339.022
      8200.00      305.162      1.324E-07      6.0703      14.7160      0.0000      333.866
      8300.00      305.619      1.253E-07      6.3272      14.8237      0.0000      328.774
      8400.00      306.082      1.186E-07      6.4430      14.9336      0.0000      323.745
      8500.00      306.552      1.122E-07      6.3913      15.0510      0.0000      318.779
      8600.00      307.027      1.062E-07      6.1468      15.1760      0.0000      313.874
      8700.00      307.508      1.005E-07      5.6855      15.3003      0.0000      309.032
      8800.00      307.995      9.507E-08      4.9865      15.4047      0.0000      304.250
      8900.00      308.487      8.995E-08      4.0342      15.4563      0.0000      299.530
      9000.00      308.986      8.510E-08      2.8538      15.4060      0.0000      294.871
      9100.00      309.498      8.056E-08      1.5721      15.2056      0.0000      290.272
      9200.00      310.030      7.634E-08      0.3322      14.8423      0.0000      285.735
      9300.00      310.589      7.247E-08      -0.7365      14.3433      0.0000      281.257
      9400.00      311.183      6.895E-08      -1.5277      13.7666      0.0000      276.840
      9500.00      311.818      6.580E-08      -1.9628      13.1836      0.0000      272.484
      9600.00      312.503      6.301E-08      -1.9860      12.6567      0.0000      268.188
      9700.00      313.246      6.060E-08      -1.5547      12.2167      0.0000      263.952
      9800.00      314.053      5.856E-08      -0.6296      11.8391      0.0000      259.776
      9900.00      314.934      5.690E-08      0.8259      11.4196      0.0000      255.661
