#ASTEX case using prescribed vertical grid, Nlev = 427 1 date=04/04/09
height(m)   thl(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)
      7.5000      280.086      6.663E-06      -4.4997      -2.0373      0.4424
      22.5000      279.993      6.569E-06      -4.4122      -1.8476      0.4324
      37.5000      279.922      6.486E-06      -4.3256      -1.6813      0.4225
      52.5000      279.873      6.414E-06      -4.2416      -1.5363      0.4127
      67.5000      279.847      6.352E-06      -4.1616      -1.4109      0.4029
      82.5000      279.841      6.300E-06      -4.0868      -1.3035      0.3932
      97.5000      279.856      6.257E-06      -4.0180      -1.2125      0.3836
      112.500      279.891      6.223E-06      -3.9558      -1.1365      0.3741
      127.500      279.945      6.197E-06      -3.9008      -1.0743      0.3647
      142.500      280.018      6.179E-06      -3.8533      -1.0248      0.3553
      157.500      280.109      6.168E-06      -3.8133      -0.9871      0.3460
      172.500      280.216      6.165E-06      -3.7810      -0.9602      0.3368
      187.500      280.341      6.169E-06      -3.7563      -0.9436      0.3277
      202.500      280.481      6.180E-06      -3.7389      -0.9367      0.3187
      217.500      280.636      6.196E-06      -3.7289      -0.9390      0.3097
      232.500      280.806      6.219E-06      -3.7257      -0.9501      0.3009
      247.500      280.990      6.248E-06      -3.7292      -0.9697      0.2921
      262.500      281.188      6.283E-06      -3.7388      -0.9976      0.2834
      277.500      281.397      6.324E-06      -3.7543      -1.0337      0.2748
      292.500      281.619      6.369E-06      -3.7750      -1.0778      0.2663
      307.500      281.852      6.420E-06      -3.8006      -1.1298      0.2579
      322.500      282.095      6.476E-06      -3.8304      -1.1897      0.2495
      337.500      282.349      6.536E-06      -3.8639      -1.2574      0.2413
      352.500      282.611      6.601E-06      -3.9005      -1.3330      0.2331
      367.500      282.883      6.670E-06      -3.9396      -1.4164      0.2251
      382.500      283.162      6.744E-06      -3.9806      -1.5075      0.2171
      397.500      283.448      6.821E-06      -4.0228      -1.6062      0.2093
      412.500      283.741      6.902E-06      -4.0655      -1.7126      0.2015
      427.500      284.039      6.987E-06      -4.1083      -1.8264      0.1938
      442.500      284.343      7.075E-06      -4.1503      -1.9475      0.1863
      457.500      284.651      7.166E-06      -4.1910      -2.0757      0.1788
      472.500      284.963      7.260E-06      -4.2298      -2.2107      0.1714
      487.500      285.278      7.356E-06      -4.2660      -2.3523      0.1642
      502.500      285.596      7.454E-06      -4.2992      -2.5000      0.1570
      517.500      285.915      7.555E-06      -4.3288      -2.6535      0.1500
      532.500      286.235      7.657E-06      -4.3544      -2.8123      0.1430
      546.849      286.542      7.755E-06      -4.3747      -2.9687      0.1365
      559.954      286.822      7.846E-06      -4.3893      -3.1150      0.1306
      571.921      287.077      7.930E-06      -4.3993      -3.2511      0.1253
      582.850      287.309      8.006E-06      -4.4055      -3.3772      0.1206
      592.831      287.520      8.076E-06      -4.4086      -3.4937      0.1163
      601.947      287.711      8.140E-06      -4.4093      -3.6009      0.1124
      610.271      287.886      8.198E-06      -4.4081      -3.6995      0.1089
      617.873      288.044      8.250E-06      -4.4056      -3.7899      0.1057
      624.815      288.187      8.298E-06      -4.4019      -3.8727      0.1028
      631.156      288.318      8.342E-06      -4.3976      -3.9486      0.1002
      636.946      288.436      8.382E-06      -4.3927      -4.0178      0.0979
      642.355      288.546      8.418E-06      -4.3874      -4.0826      0.0957
      647.500      288.650      8.453E-06      -4.3817      -4.1442      0.0936
      652.500      288.751      8.487E-06      -4.3756      -4.2040      0.0917
      657.500      288.851      8.520E-06      -4.3688      -4.2637      0.0897
      662.500      288.950      8.553E-06      -4.3614      -4.3234      0.0877
      667.500      289.049      8.586E-06      -4.3535      -4.3829      0.0858
      672.500      289.147      8.619E-06      -4.3450      -4.4423      0.0839
      677.500      289.244      8.651E-06      -4.3359      -4.5014      0.0820
      682.500      289.341      8.683E-06      -4.3263      -4.5604      0.0801
      687.500      289.437      8.715E-06      -4.3161      -4.6191      0.0782
      692.500      289.532      8.746E-06      -4.3054      -4.6776      0.0763
      697.500      289.627      8.777E-06      -4.2942      -4.7358      0.0744
      702.500      289.720      8.808E-06      -4.2825      -4.7936      0.0726
      707.500      289.813      8.838E-06      -4.2703      -4.8511      0.0708
      712.500      289.905      8.868E-06      -4.2577      -4.9082      0.0690
      717.500      289.996      8.897E-06      -4.2446      -4.9649      0.0672
      722.500      290.086      8.926E-06      -4.2311      -5.0212      0.0654
      727.500      290.175      8.954E-06      -4.2171      -5.0770      0.0637
      732.500      290.263      8.982E-06      -4.2028      -5.1323      0.0619
      737.500      290.350      9.010E-06      -4.1882      -5.1871      0.0602
      742.500      290.436      9.036E-06      -4.1732      -5.2413      0.0585
      747.500      290.521      9.062E-06      -4.1578      -5.2950      0.0568
      752.500      290.605      9.088E-06      -4.1422      -5.3481      0.0551
      757.500      290.687      9.113E-06      -4.1264      -5.4006      0.0534
      762.500      290.769      9.138E-06      -4.1102      -5.4524      0.0518
      767.500      290.850      9.161E-06      -4.0939      -5.5035      0.0502
      772.500      290.929      9.184E-06      -4.0774      -5.5539      0.0486
      777.500      291.007      9.207E-06      -4.0607      -5.6037      0.0470
      782.500      291.084      9.228E-06      -4.0439      -5.6526      0.0454
      787.500      291.159      9.249E-06      -4.0269      -5.7008      0.0438
      792.500      291.233      9.270E-06      -4.0099      -5.7482      0.0423
