#ASTEX case using prescribed vertical grid, Nlev = 427 1 date07/01/09 00
height(m)   T(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)     pres
      12.5000      291.945      6.528E-03      1.8962      -0.7342      0.0254      1021.67
      37.5000      292.390      6.681E-03      -1.9231      1.8983      0.0244      1018.51
      62.5000      292.038      6.543E-03      2.6622      -0.8609      0.0235      1015.36
      87.5000      290.992      6.404E-03      -0.1528      2.6454      0.0226      1012.22
      112.500      290.603      6.362E-03      -2.8828      -0.2458      0.0216      1009.08
      137.500      290.638      6.391E-03      3.3981      0.1513      0.0207      1005.94
      162.500      290.711      6.454E-03      -3.5992      1.6842      0.0198      1002.81
      187.500      290.437      6.516E-03      -4.3503      0.7213      0.0190      999.687
      212.500      279.893      6.081E-03      -3.7314      -0.9373      0.2890      991.412
      237.500      279.940      6.100E-03      -3.7262      -0.9557      0.2753      988.494
      262.500      280.023      6.117E-03      -3.7388      -0.9976      0.2619      985.576
      287.500      280.141      6.133E-03      -3.7676      -1.0622      0.2487      982.661
      312.500      280.290      6.146E-03      -3.8101      -1.1489      0.2357      979.748
      337.500      280.466      6.158E-03      -3.8639      -1.2574      0.2230      976.838
      362.500      280.666      6.168E-03      -3.9263      -1.3877      0.2105      973.932
      387.500      280.888      6.176E-03      -3.9945      -1.5395      0.1982      971.028
      412.500      281.128      6.183E-03      -4.0655      -1.7126      0.1862      968.129
      437.500      281.384      6.188E-03      -4.1364      -1.9063      0.1745      965.234
      462.500      281.651      6.192E-03      -4.2042      -2.1200      0.1630      962.344
      487.500      281.927      6.195E-03      -4.2660      -2.3523      0.1517      959.460
      512.500      282.208      6.196E-03      -4.3194      -2.6017      0.1408      956.580
      537.500      282.493      6.196E-03      -4.3620      -2.8663      0.1301      953.707
      562.500      282.776      6.195E-03      -4.3917      -3.1438      0.1197      950.840
      587.500      283.056      6.193E-03      -4.4073      -3.4313      0.1096      947.980
      612.500      283.329      6.191E-03      -4.4075      -3.7260      0.0997      945.127
      637.500      283.592      6.187E-03      -4.3922      -4.0245      0.0903      942.282
      662.500      283.841      6.182E-03      -4.3614      -4.3234      0.0811      939.444
      687.500      284.075      6.177E-03      -4.3161      -4.6191      0.0722      936.615
      712.500      284.289      6.171E-03      -4.2577      -4.9082      0.0637      933.795
      737.500      284.480      6.165E-03      -4.1882      -5.1871      0.0556      930.983
      762.500      284.646      6.158E-03      -4.1102      -5.4524      0.0479      928.181
      787.500      284.783      6.150E-03      -4.0269      -5.7008      0.0405      925.390
      812.500      284.888      6.142E-03      -3.9416      -5.9297      0.0336      922.608
      837.500      284.962      6.134E-03      -3.8566      -6.1388      0.0271      919.837
      862.500      285.006      6.126E-03      -3.7739      -6.3287      0.0211      917.075
      887.500      285.022      6.117E-03      -3.6948      -6.5003      0.0156      914.324
      912.500      285.010      6.108E-03      -3.6206      -6.6543      0.0107      911.582
      937.500      284.973      6.098E-03      -3.5522      -6.7917      0.0065      908.849
      962.500      284.910      6.088E-03      -3.4904      -6.9133      0.0030      906.126
      987.500      284.825      6.078E-03      -3.4354      -7.0201      0.0006      903.412
      1012.50      284.717      6.067E-03      -3.3877      -7.1128      0.0000      900.707
      1037.50      284.589      6.055E-03      -3.3473      -7.1925      0.0000      898.011
      1062.50      284.442      6.043E-03      -3.3142      -7.2598      0.0000      895.323
      1087.50      284.277      6.030E-03      -3.2881      -7.3157      0.0000      892.644
      1112.50      284.095      6.017E-03      -3.2687      -7.3608      0.0000      889.973
      1137.50      283.897      6.003E-03      -3.2556      -7.3961      0.0000      887.310
      1162.50      283.686      5.989E-03      -3.2483      -7.4221      0.0000      884.655
      1187.50      283.463      5.974E-03      -3.2462      -7.4398      0.0000      882.007
      1212.50      283.228      5.958E-03      -3.2488      -7.4497      0.0000      879.367
      1237.50      282.983      5.942E-03      -3.2552      -7.4527      0.0000      876.734
      1262.50      282.729      5.925E-03      -3.2649      -7.4493      0.0000      874.109
      1287.50      282.468      5.908E-03      -3.2771      -7.4405      0.0000      871.490
      1312.50      282.202      5.889E-03      -3.2912      -7.4269      0.0000      868.878
      1337.50      281.930      5.870E-03      -3.3063      -7.4091      0.0000      866.273
      1362.50      281.656      5.850E-03      -3.3217      -7.3880      0.0000      863.674
      1387.50      281.379      5.830E-03      -3.3368      -7.3643      0.0000      861.081
      1412.50      281.102      5.808E-03      -3.3508      -7.3387      0.0000      858.495
      1437.50      280.825      5.786E-03      -3.3631      -7.3120      0.0000      855.914
      1462.50      280.551      5.764E-03      -3.3729      -7.2850      0.0000      853.339
      1487.50      280.280      5.740E-03      -3.3796      -7.2583      0.0000      850.769
      1512.50      280.014      5.715E-03      -3.3827      -7.2327      0.0000      848.205
      1537.50      279.752      5.690E-03      -3.3819      -7.2084      0.0000      845.646
      1562.50      279.496      5.664E-03      -3.3775      -7.1856      0.0000      843.092
      1587.50      279.245      5.637E-03      -3.3695      -7.1640      0.0000      840.544
      1612.50      278.998      5.609E-03      -3.3580      -7.1437      0.0000      838.001
      1637.50      278.756      5.581E-03      -3.3432      -7.1247      0.0000      835.463
      1662.50      278.519      5.551E-03      -3.3251      -7.1070      0.0000      832.931
      1687.50      278.286      5.521E-03      -3.3040      -7.0905      0.0000      830.404
      1712.50      278.058      5.490E-03      -3.2798      -7.0751      0.0000      827.882
      1737.50      277.834      5.458E-03      -3.2528      -7.0609      0.0000      825.365
      1762.50      277.615      5.426E-03      -3.2229      -7.0478      0.0000      822.854
      1787.50      277.399      5.392E-03      -3.1904      -7.0357      0.0000      820.349
      1812.50      277.188      5.358E-03      -3.1553      -7.0246      0.0000      817.848
      1837.50      276.980      5.323E-03      -3.1178      -7.0144      0.0000      815.354
      1862.50      276.777      5.287E-03      -3.0778      -7.0052      0.0000      812.864
      1887.50      276.578      5.251E-03      -3.0356      -6.9968      0.0000      810.380
      1912.50      276.382      5.214E-03      -2.9912      -6.9893      0.0000      807.902
      1937.50      276.190      5.176E-03      -2.9447      -6.9824      0.0000      805.428
      1962.50      276.001      5.137E-03      -2.8962      -6.9763      0.0000      802.961
      1987.50      275.816      5.098E-03      -2.8458      -6.9708      0.0000      800.499
      2012.50      275.634      5.057E-03      -2.7935      -6.9660      0.0000      798.042
      2037.50      275.456      5.017E-03      -2.7396      -6.9617      0.0000      795.591
      2062.50      275.281      4.975E-03      -2.6840      -6.9579      0.0000      793.145
      2087.50      275.108      4.933E-03      -2.6269      -6.9546      0.0000      790.705
      2112.50      274.939      4.890E-03      -2.5683      -6.9518      0.0000      788.270
      2137.50      274.773      4.846E-03      -2.5083      -6.9493      0.0000      785.841
      2162.50      274.610      4.802E-03      -2.4471      -6.9472      0.0000      783.417
      2187.50      274.450      4.757E-03      -2.3846      -6.9454      0.0000      780.999
      2212.50      274.292      4.712E-03      -2.3210      -6.9438      0.0000      778.587
      2237.50      274.137      4.666E-03      -2.2563      -6.9426      0.0000      776.180
      2262.50      273.984      4.619E-03      -2.1907      -6.9415      0.0000      773.778
      2287.50      273.834      4.572E-03      -2.1242      -6.9406      0.0000      771.383
      2312.50      273.686      4.524E-03      -2.0569      -6.9400      0.0000      768.993
      2337.50      273.540      4.476E-03      -1.9888      -6.9394      0.0000      766.608
      2362.50      273.397      4.427E-03      -1.9201      -6.9390      0.0000      764.229
      2387.50      273.256      4.378E-03      -1.8508      -6.9387      0.0000      761.856
      2412.50      273.116      4.328E-03      -1.7810      -6.9386      0.0000      759.489
      2437.50      272.979      4.278E-03      -1.7107      -6.9385      0.0000      757.127
      2462.50      272.843      4.227E-03      -1.6401      -6.9385      0.0000      754.771
      2487.50      272.709      4.176E-03      -1.5692      -6.9386      0.0000      752.420
      2512.50      272.576      4.124E-03      -1.4981      -6.9388      0.0000      750.075
      2537.50      272.446      4.072E-03      -1.4267      -6.9390      0.0000      747.736
      2562.50      272.316      4.020E-03      -1.3553      -6.9394      0.0000      745.403
      2587.50      272.188      3.967E-03      -1.2839      -6.9399      0.0000      743.075
      2612.50      272.061      3.914E-03      -1.2125      -6.9404      0.0000      740.754
      2637.50      271.936      3.861E-03      -1.1412      -6.9412      0.0000      738.437
      2662.50      271.811      3.807E-03      -1.0700      -6.9420      0.0000      736.127
      2687.50      271.688      3.753E-03      -0.9991      -6.9430      0.0000      733.823
      2712.50      271.565      3.699E-03      -0.9284      -6.9443      0.0000      731.524
      2737.50      271.444      3.645E-03      -0.8581      -6.9457      0.0000      729.231
      2762.50      271.323      3.590E-03      -0.7881      -6.9474      0.0000      726.944
      2787.50      271.202      3.535E-03      -0.7186      -6.9493      0.0000      724.662
      2812.50      271.083      3.480E-03      -0.6497      -6.9516      0.0000      722.387
      2837.50      270.963      3.425E-03      -0.5812      -6.9542      0.0000      720.117
      2862.50      270.845      3.370E-03      -0.5134      -6.9572      0.0000      717.853
      2887.50      270.726      3.315E-03      -0.4462      -6.9606      0.0000      715.595
      2912.50      270.608      3.259E-03      -0.3798      -6.9645      0.0000      713.343
      2937.50      270.489      3.204E-03      -0.3141      -6.9688      0.0000      711.097
      2962.50      270.371      3.148E-03      -0.2492      -6.9738      0.0000      708.857
      2987.50      270.253      3.093E-03      -0.1852      -6.9793      0.0000      706.623
      3012.50      270.135      3.038E-03      -0.1221      -6.9856      0.0000      704.394
      3037.50      270.016      2.982E-03      -0.0599      -6.9925      0.0000      702.172
      3062.50      269.897      2.927E-03      0.0012      -7.0002      0.0000      699.955
      3087.50      269.778      2.872E-03      0.0613      -7.0087      0.0000      697.745
      3112.50      269.658      2.817E-03      0.1204      -7.0180      0.0000      695.540
      3137.50      269.538      2.762E-03      0.1785      -7.0282      0.0000      693.341
      3162.50      269.418      2.707E-03      0.2356      -7.0392      0.0000      691.149
      3187.50      269.297      2.653E-03      0.2918      -7.0510      0.0000      688.962
      3212.50      269.175      2.599E-03      0.3471      -7.0637      0.0000      686.781
      3237.50      269.053      2.545E-03      0.4016      -7.0772      0.0000      684.605
      3262.50      268.931      2.492E-03      0.4552      -7.0916      0.0000      682.436
      3287.50      268.809      2.439E-03      0.5080      -7.1068      0.0000      680.273
      3312.50      268.685      2.387E-03      0.5601      -7.1228      0.0000      678.115
      3337.50      268.562      2.335E-03      0.6113      -7.1397      0.0000      675.963
      3362.50      268.438      2.283E-03      0.6619      -7.1574      0.0000      673.817
      3387.50      268.313      2.232E-03      0.7117      -7.1760      0.0000      671.677
      3412.50      268.188      2.182E-03      0.7608      -7.1953      0.0000      669.542
      3437.50      268.063      2.132E-03      0.8092      -7.2155      0.0000      667.414
      3462.50      267.937      2.083E-03      0.8569      -7.2365      0.0000      665.291
      3487.50      267.810      2.034E-03      0.9040      -7.2583      0.0000      663.173
      3512.50      267.683      1.986E-03      0.9505      -7.2809      0.0000      661.062
      3537.50      267.555      1.938E-03      0.9964      -7.3043      0.0000      658.956
      3562.50      267.427      1.892E-03      1.0416      -7.3285      0.0000      656.855
      3587.50      267.299      1.846E-03      1.0862      -7.3534      0.0000      654.761
      3612.50      267.170      1.800E-03      1.1303      -7.3791      0.0000      652.672
      3637.50      267.040      1.756E-03      1.1738      -7.4056      0.0000      650.589
      3662.50      266.910      1.712E-03      1.2167      -7.4328      0.0000      648.511
      3687.50      266.779      1.669E-03      1.2590      -7.4607      0.0000      646.439
      3712.50      266.648      1.626E-03      1.3008      -7.4894      0.0000      644.372
      3737.50      266.516      1.585E-03      1.3420      -7.5187      0.0000      642.311
      3762.50      266.384      1.544E-03      1.3827      -7.5488      0.0000      640.256
      3787.50      266.251      1.504E-03      1.4229      -7.5795      0.0000      638.206
