date=12/05/08 12
height(m)   thl(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)
      12.5000      290.561      6.528E-03      0.7619      -3.0619      1.3054
      37.5000      291.243      6.681E-03      1.1789      -3.2297      1.2561
      62.5000      291.131      6.543E-03      1.3354      -3.2559      1.2075
      87.5000      290.327      6.404E-03      1.5099      -3.2039      1.1595
      112.500      290.177      6.362E-03      1.4610      -3.2194      1.1122
      137.500      290.451      6.391E-03      1.2926      -3.2822      1.0655
      162.500      290.763      6.454E-03      1.1423      -3.3562      1.0195
      187.500      290.729      6.516E-03      1.1477      -3.4050      0.9742
      212.500      294.773      3.526E-03      -5.0571      -1.4755      0.2735
      237.500      294.695      3.449E-03      -5.1481      -1.5337      0.2605
      262.500      294.631      3.388E-03      -5.2324      -1.5783      0.2478
      287.500      294.580      3.341E-03      -5.3102      -1.6100      0.2353
      312.500      294.541      3.307E-03      -5.3819      -1.6296      0.2231
      337.500      294.514      3.286E-03      -5.4478      -1.6377      0.2110
      362.500      294.497      3.275E-03      -5.5081      -1.6350      0.1992
      387.500      294.491      3.275E-03      -5.5631      -1.6223      0.1876
      412.500      294.493      3.284E-03      -5.6132      -1.6003      0.1762
      437.500      294.503      3.302E-03      -5.6586      -1.5696      0.1651
      462.500      294.521      3.328E-03      -5.6995      -1.5310      0.1542
      487.500      294.545      3.362E-03      -5.7364      -1.4852      0.1436
      512.500      294.575      3.403E-03      -5.7694      -1.4329      0.1332
      537.500      294.611      3.450E-03      -5.7989      -1.3748      0.1231
      562.500      294.650      3.503E-03      -5.8251      -1.3117      0.1132
      587.500      294.692      3.562E-03      -5.8484      -1.2441      0.1037
      612.500      294.737      3.625E-03      -5.8691      -1.1729      0.0944
      637.500      294.784      3.693E-03      -5.8873      -1.0988      0.0854
      662.500      294.831      3.764E-03      -5.9035      -1.0224      0.0767
      687.500      294.878      3.837E-03      -5.9178      -0.9444      0.0684
      712.500      294.924      3.913E-03      -5.9307      -0.8657      0.0603
      737.500      294.969      3.989E-03      -5.9423      -0.7868      0.0526
      762.500      295.011      4.066E-03      -5.9530      -0.7085      0.0453
      787.500      295.049      4.142E-03      -5.9630      -0.6315      0.0383
      812.500      295.083      4.216E-03      -5.9727      -0.5566      0.0318
      837.500      295.112      4.287E-03      -5.9824      -0.4843      0.0256
      862.500      295.135      4.354E-03      -5.9920      -0.4150      0.0200
      887.500      295.154      4.418E-03      -6.0016      -0.3487      0.0148
      912.500      295.167      4.478E-03      -6.0111      -0.2853      0.0101
      937.500      295.177      4.533E-03      -6.0203      -0.2247      0.0061
      962.500      295.182      4.585E-03      -6.0293      -0.1669      0.0028
      987.500      295.183      4.631E-03      -6.0379      -0.1119      0.0005
      1012.50      295.182      4.673E-03      -6.0460      -0.0595      0.0000
      1037.50      295.177      4.710E-03      -6.0536      -0.0097      0.0000
      1062.50      295.169      4.742E-03      -6.0606      0.0375      0.0000
      1087.50      295.159      4.769E-03      -6.0669      0.0822      0.0000
      1112.50      295.147      4.790E-03      -6.0725      0.1245      0.0000
      1137.50      295.134      4.806E-03      -6.0772      0.1643      0.0000
      1162.50      295.119      4.817E-03      -6.0810      0.2019      0.0000
      1187.50      295.103      4.822E-03      -6.0838      0.2372      0.0000
      1212.50      295.086      4.822E-03      -6.0855      0.2702      0.0000
      1237.50      295.070      4.816E-03      -6.0860      0.3011      0.0000
      1262.50      295.053      4.804E-03      -6.0854      0.3299      0.0000
      1287.50      295.037      4.787E-03      -6.0833      0.3567      0.0000
      1312.50      295.021      4.764E-03      -6.0799      0.3815      0.0000
      1337.50      295.007      4.736E-03      -6.0751      0.4043      0.0000
      1362.50      294.995      4.702E-03      -6.0686      0.4253      0.0000
      1387.50      294.984      4.662E-03      -6.0606      0.4445      0.0000
      1412.50      294.975      4.617E-03      -6.0508      0.4619      0.0000
      1437.50      294.969      4.567E-03      -6.0392      0.4776      0.0000
      1462.50      294.966      4.512E-03      -6.0258      0.4916      0.0000
      1487.50      294.967      4.452E-03      -6.0104      0.5041      0.0000
      1512.50      294.971      4.387E-03      -5.9930      0.5151      0.0000
      1537.50      294.979      4.318E-03      -5.9735      0.5245      0.0000
      1562.50      294.991      4.244E-03      -5.9518      0.5326      0.0000
      1587.50      295.008      4.166E-03      -5.9281      0.5393      0.0000
      1612.50      295.029      4.085E-03      -5.9023      0.5446      0.0000
      1637.50      295.054      4.000E-03      -5.8745      0.5485      0.0000
      1662.50      295.083      3.913E-03      -5.8448      0.5512      0.0000
      1687.50      295.116      3.822E-03      -5.8132      0.5526      0.0000
      1712.50      295.153      3.730E-03      -5.7799      0.5527      0.0000
      1737.50      295.193      3.636E-03      -5.7448      0.5517      0.0000
      1762.50      295.238      3.540E-03      -5.7081      0.5494      0.0000
      1787.50      295.286      3.444E-03      -5.6697      0.5460      0.0000
      1812.50      295.338      3.346E-03      -5.6298      0.5414      0.0000
      1837.50      295.393      3.248E-03      -5.5884      0.5358      0.0000
      1862.50      295.451      3.150E-03      -5.5456      0.5291      0.0000
      1887.50      295.513      3.052E-03      -5.5014      0.5213      0.0000
      1912.50      295.578      2.955E-03      -5.4559      0.5125      0.0000
      1937.50      295.647      2.857E-03      -5.4091      0.5028      0.0000
      1962.50      295.718      2.761E-03      -5.3612      0.4921      0.0000
      1987.50      295.793      2.666E-03      -5.3122      0.4804      0.0000
      2012.50      295.870      2.572E-03      -5.2620      0.4679      0.0000
      2037.50      295.951      2.479E-03      -5.2109      0.4545      0.0000
      2062.50      296.034      2.388E-03      -5.1589      0.4402      0.0000
      2087.50      296.119      2.299E-03      -5.1060      0.4252      0.0000
      2112.50      296.208      2.211E-03      -5.0522      0.4093      0.0000
      2137.50      296.299      2.125E-03      -4.9977      0.3927      0.0000
      2162.50      296.392      2.042E-03      -4.9426      0.3754      0.0000
      2187.50      296.488      1.960E-03      -4.8867      0.3574      0.0000
      2212.50      296.586      1.881E-03      -4.8303      0.3387      0.0000
      2237.50      296.686      1.804E-03      -4.7734      0.3194      0.0000
      2262.50      296.788      1.729E-03      -4.7161      0.2995      0.0000
      2287.50      296.893      1.657E-03      -4.6583      0.2790      0.0000
      2312.50      296.999      1.587E-03      -4.6003      0.2579      0.0000
      2337.50      297.107      1.519E-03      -4.5419      0.2363      0.0000
      2362.50      297.217      1.453E-03      -4.4834      0.2142      0.0000
      2387.50      297.328      1.390E-03      -4.4247      0.1917      0.0000
      2412.50      297.442      1.330E-03      -4.3660      0.1687      0.0000
      2437.50      297.556      1.272E-03      -4.3072      0.1453      0.0000
      2462.50      297.672      1.215E-03      -4.2484      0.1216      0.0000
