#ASTEX case using prescribed vertical grid, Nlev = 427 1 date06/01/09 12
height(m)   thl(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)
      12.5000      268.441      3.028E-06      3.1831      -0.2654      0.2852
      37.5000      268.431      2.981E-06      3.6264      -0.2665      0.2744
      62.5000      268.435      2.937E-06      4.0424      -0.2563      0.2638
      87.5000      268.451      2.897E-06      4.4319      -0.2355      0.2533
      112.500      268.480      2.860E-06      4.7954      -0.2049      0.2430
      137.500      268.519      2.825E-06      5.1338      -0.1652      0.2328
      162.500      268.570      2.794E-06      5.4477      -0.1171      0.2228
      187.500      268.631      2.764E-06      5.7379      -0.0613      0.2129
      212.500      268.701      2.737E-06      6.0051      0.0013      0.2031
      237.500      268.780      2.712E-06      6.2502      0.0701      0.1935
      262.500      268.868      2.689E-06      6.4738      0.1444      0.1841
      287.500      268.964      2.668E-06      6.6767      0.2235      0.1748
      312.500      269.066      2.648E-06      6.8599      0.3066      0.1657
      337.500      269.176      2.630E-06      7.0241      0.3931      0.1567
      362.500      269.291      2.613E-06      7.1702      0.4823      0.1479
      387.500      269.411      2.596E-06      7.2990      0.5737      0.1393
      412.500      269.536      2.581E-06      7.4114      0.6667      0.1309
      437.500      269.665      2.567E-06      7.5084      0.7607      0.1226
      462.500      269.797      2.553E-06      7.5907      0.8552      0.1145
      487.500      269.932      2.540E-06      7.6594      0.9497      0.1066
      512.500      270.069      2.528E-06      7.7153      1.0438      0.0989
      537.500      270.207      2.515E-06      7.7593      1.1371      0.0914
      562.500      270.346      2.503E-06      7.7926      1.2293      0.0841
      587.500      270.486      2.491E-06      7.8159      1.3200      0.0770
      612.500      270.624      2.479E-06      7.8302      1.4090      0.0701
      637.500      270.762      2.466E-06      7.8365      1.4961      0.0634
      662.500      270.898      2.454E-06      7.8358      1.5810      0.0570
      687.500      271.031      2.440E-06      7.8290      1.6637      0.0508
      712.500      271.161      2.427E-06      7.8170      1.7440      0.0448
      737.500      271.287      2.412E-06      7.8009      1.8220      0.0391
      762.500      271.409      2.397E-06      7.7816      1.8975      0.0336
      787.500      271.526      2.381E-06      7.7600      1.9706      0.0285
      812.500      271.637      2.364E-06      7.7372      2.0415      0.0236
      837.500      271.741      2.346E-06      7.7139      2.1101      0.0190
      862.500      271.839      2.327E-06      7.6907      2.1766      0.0148
      887.500      271.931      2.307E-06      7.6676      2.2411      0.0110
      912.500      272.018      2.286E-06      7.6447      2.3037      0.0075
      937.500      272.099      2.265E-06      7.6221      2.3644      0.0045
      962.500      272.177      2.243E-06      7.5997      2.4233      0.0021
      987.500      272.250      2.220E-06      7.5776      2.4806      0.0004
      1012.50      272.321      2.197E-06      7.5559      2.5362      0.0000
      1037.50      272.388      2.174E-06      7.5345      2.5903      0.0000
      1062.50      272.453      2.151E-06      7.5137      2.6430      0.0000
      1087.50      272.517      2.128E-06      7.4932      2.6943      0.0000
      1112.50      272.580      2.104E-06      7.4733      2.7444      0.0000
      1137.50      272.642      2.081E-06      7.4539      2.7933      0.0000
      1162.50      272.704      2.058E-06      7.4350      2.8410      0.0000
      1187.50      272.766      2.036E-06      7.4167      2.8877      0.0000
      1212.50      272.830      2.013E-06      7.3990      2.9335      0.0000
      1237.50      272.895      1.991E-06      7.3819      2.9785      0.0000
      1262.50      272.962      1.970E-06      7.3654      3.0226      0.0000
      1287.50      273.033      1.949E-06      7.3495      3.0661      0.0000
      1312.50      273.106      1.929E-06      7.3343      3.1089      0.0000
      1337.50      273.183      1.910E-06      7.3197      3.1512      0.0000
      1362.50      273.265      1.892E-06      7.3058      3.1930      0.0000
      1387.50      273.352      1.874E-06      7.2925      3.2344      0.0000
      1412.50      273.444      1.857E-06      7.2799      3.2756      0.0000
      1437.50      273.543      1.842E-06      7.2680      3.3165      0.0000
      1462.50      273.648      1.827E-06      7.2567      3.3573      0.0000
      1487.50      273.761      1.813E-06      7.2461      3.3980      0.0000
      1512.50      273.881      1.801E-06      7.2362      3.4388      0.0000
      1537.50      274.008      1.789E-06      7.2269      3.4795      0.0000
      1562.50      274.143      1.779E-06      7.2184      3.5202      0.0000
      1587.50      274.284      1.769E-06      7.2105      3.5608      0.0000
      1612.50      274.433      1.761E-06      7.2034      3.6015      0.0000
      1637.50      274.588      1.753E-06      7.1969      3.6422      0.0000
      1662.50      274.750      1.747E-06      7.1912      3.6829      0.0000
      1687.50      274.918      1.741E-06      7.1863      3.7236      0.0000
      1712.50      275.092      1.736E-06      7.1820      3.7642      0.0000
      1737.50      275.272      1.731E-06      7.1785      3.8049      0.0000
      1762.50      275.457      1.728E-06      7.1758      3.8456      0.0000
      1787.50      275.649      1.725E-06      7.1739      3.8863      0.0000
      1812.50      275.845      1.723E-06      7.1727      3.9270      0.0000
      1837.50      276.047      1.721E-06      7.1723      3.9677      0.0000
      1862.50      276.254      1.720E-06      7.1727      4.0085      0.0000
      1887.50      276.465      1.720E-06      7.1740      4.0492      0.0000
      1912.50      276.682      1.720E-06      7.1760      4.0899      0.0000
      1937.50      276.902      1.721E-06      7.1789      4.1307      0.0000
