date=03/04/09 12
height(m)   thl(K)     qt(kg/kg)       u(m/s)     v(m/s)     tke(m2/s2)
      12.5000      290.805      6.528E-03      1.8962      -0.7342      0.2852
      12.5000      292.005      7.063E-03      1.1906      0.0288      0.0569
      37.5000      291.486      6.681E-03      -1.9231      1.8983      0.2744
      37.5000      291.677      6.805E-03      1.6194      0.1203      0.0547
      62.5000      291.372      6.543E-03      2.6622      -0.8609      0.2638
      62.5000      291.391      6.573E-03      2.0137      0.2304      0.0526
      87.5000      290.567      6.404E-03      -0.1528      2.6454      0.2533
      87.5000      291.145      6.367E-03      2.3763      0.3443      0.0505
      112.500      290.417      6.362E-03      -2.8828      -0.2458      0.2430
      112.500      290.937      6.184E-03      2.7108      0.4502      0.0485
      137.500      290.690      6.391E-03      3.3981      0.1513      0.2328
      137.500      290.765      6.021E-03      3.0207      0.5384      0.0464
      162.500      291.003      6.454E-03      -3.5992      1.6842      0.2228
      162.500      290.627      5.877E-03      3.3093      0.6016      0.0444
      187.500      290.970      6.516E-03      -4.3503      0.7213      0.2129
      187.500      290.522      5.750E-03      3.5790      0.6340      0.0424
      212.500      290.448      5.638E-03      3.8314      0.6315      0.0405
      237.500      290.404      5.541E-03      4.0671      0.5911      0.0386
      262.500      290.387      5.457E-03      4.2857      0.5114      0.0367
      287.500      290.395      5.385E-03      4.4859      0.3916      0.0349
      312.500      290.428      5.324E-03      4.6660      0.2323      0.0330
      337.500      290.483      5.273E-03      4.8234      0.0349      0.0313
      362.500      290.558      5.231E-03      4.9556      -0.1985      0.0295
      387.500      290.653      5.198E-03      5.0596      -0.4646      0.0278
      412.500      290.764      5.173E-03      5.1329      -0.7596      0.0261
      437.500      290.890      5.155E-03      5.1731      -1.0790      0.0244
      462.500      291.030      5.143E-03      5.1784      -1.4179      0.0228
      487.500      291.181      5.138E-03      5.1476      -1.7707      0.0213
      512.500      291.342      5.138E-03      5.0802      -2.1322      0.0197
      537.500      291.510      5.143E-03      4.9766      -2.4965      0.0182
      562.500      291.685      5.152E-03      4.8383      -2.8584      0.0168
      587.500      291.865      5.165E-03      4.6672      -3.2129      0.0154
      612.500      292.046      5.181E-03      4.4663      -3.5555      0.0140
      637.500      292.229      5.200E-03      4.2392      -3.8823      0.0126
      662.500      292.410      5.221E-03      3.9902      -4.1904      0.0114
      687.500      292.588      5.244E-03      3.7238      -4.4775      0.0101
      712.500      292.761      5.267E-03      3.4451      -4.7423      0.0089
      737.500      292.927      5.292E-03      3.1591      -4.9846      0.0078
      762.500      293.084      5.316E-03      2.8712      -5.2047      0.0067
      787.500      293.231      5.339E-03      2.5863      -5.4040      0.0057
