#ASTEX case using prescribed vertical grid, Nlev = 427
 height(m)    thl(K)    qt(kg/kg)        u(m/s)       v(m/s)            tke(m2/s2)
      7.50000      288.000    0.0102000    -0.700000     -10.0000      1.00000
      22.5000      288.000    0.0102000    -0.700000     -10.0000      1.00000
      37.5000      288.000    0.0102000    -0.700000     -10.0000      1.00000
      52.5000      288.000    0.0102000    -0.700000     -10.0000      1.00000
      67.5000      288.000    0.0102000    -0.700000     -10.0000      1.00000
      82.5000      288.000    0.0102000    -0.700000     -10.0000      1.00000
      97.5000      288.000    0.0102000    -0.700000     -10.0000      1.00000
      112.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      127.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      142.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      157.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      172.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      187.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      202.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      217.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      232.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      247.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      262.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      277.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      292.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      307.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      322.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      337.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      352.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      367.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      382.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      397.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      412.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      427.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      442.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      457.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      472.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      487.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      502.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      517.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      532.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      546.849      288.000    0.0102000    -0.700000     -10.0000      1.00000
      559.954      288.000    0.0102000    -0.700000     -10.0000      1.00000
      571.921      288.000    0.0102000    -0.700000     -10.0000      1.00000
      582.850      288.000    0.0102000    -0.700000     -10.0000      1.00000
      592.831      288.000    0.0102000    -0.700000     -10.0000      1.00000
      601.947      288.000    0.0102000    -0.700000     -10.0000      1.00000
      610.271      288.000    0.0102000    -0.700000     -10.0000      1.00000
      617.873      288.000    0.0102000    -0.700000     -10.0000      1.00000
      624.815      288.000    0.0102000    -0.700000     -10.0000      1.00000
      631.156      288.000    0.0102000    -0.700000     -10.0000      1.00000
      636.946      288.000    0.0102000    -0.700000     -10.0000      1.00000
      642.355      288.000    0.0102000    -0.700000     -10.0000      1.00000
      647.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      652.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      657.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      662.500      288.000    0.0102000    -0.700000     -10.0000      1.00000
      667.500      288.550    0.0100900    -0.830000     -10.0000     0.900000
      672.500      289.100   0.00998000    -0.960000     -10.0000     0.800000
      677.500      289.650   0.00987000     -1.09000     -10.0000     0.700000
      682.500      290.200   0.00976000     -1.22000     -10.0000     0.600000
      687.500      290.750   0.00965000     -1.35000     -10.0000     0.500000
      692.500      291.300   0.00954000     -1.48000     -10.0000     0.400000
      697.500      291.850   0.00943000     -1.61000     -10.0000     0.300000
      702.500      292.400   0.00932000     -1.74000     -10.0000     0.200000
      707.500      292.950   0.00921000     -1.87000     -10.0000     0.100000
      712.500      293.500   0.00910000     -2.00000     -10.0000      0.00000
      717.500      293.530   0.00908600     -2.00000     -10.0000      0.00000
      722.500      293.560   0.00907200     -2.00000     -10.0000      0.00000
      727.500      293.590   0.00905800     -2.00000     -10.0000      0.00000
      732.500      293.620   0.00904400     -2.00000     -10.0000      0.00000
      737.500      293.650   0.00903000     -2.00000     -10.0000      0.00000
      742.500      293.680   0.00901600     -2.00000     -10.0000      0.00000
      747.500      293.710   0.00900200     -2.00000     -10.0000      0.00000
      752.500      293.740   0.00898800     -2.00000     -10.0000      0.00000
      757.500      293.770   0.00897400     -2.00000     -10.0000      0.00000
      762.500      293.800   0.00896000     -2.00000     -10.0000      0.00000
      767.500      293.830   0.00894600     -2.00000     -10.0000      0.00000
      772.500      293.860   0.00893200     -2.00000     -10.0000      0.00000
      777.500      293.890   0.00891800     -2.00000     -10.0000      0.00000
      782.500      293.920   0.00890400     -2.00000     -10.0000      0.00000
      787.500      293.950   0.00889000     -2.00000     -10.0000      0.00000
      792.500      293.980   0.00887600     -2.00000     -10.0000      0.00000
      797.500      294.010   0.00886200     -2.00000     -10.0000      0.00000
      802.500      294.040   0.00884800     -2.00000     -10.0000      0.00000
      807.500      294.070   0.00883400     -2.00000     -10.0000      0.00000
      812.500      294.100   0.00882000     -2.00000     -10.0000      0.00000
